month,Serious
2016-11-01,2.6403419761485596
2016-12-01,2.9571411423122287
2017-01-01,3.2591024472594574
2017-02-01,3.7829098040338573
2017-03-01,4.718794534838345
2017-04-01,4.052138450325581
2017-05-01,4.0806778008101805
2017-06-01,4.451616477537812
2017-07-01,3.7712967688176606
2017-08-01,3.783524884302935
2017-09-01,3.8384763412924445
2017-10-01,3.902108679361559
2017-11-01,2.6000035513141873
2017-12-01,2.9478156483207103
2018-01-01,3.274280454677842
2018-02-01,3.810792473091986
2018-03-01,4.737078923331199
2018-04-01,4.098055848979846
2018-05-01,4.093390637271869
2018-06-01,4.481790538208934
2018-07-01,3.8591363900173237
2018-08-01,3.8398665461298482
2018-09-01,3.9054356155945045
2018-10-01,3.9889587369344466
2018-11-01,2.6164474813114555
2018-12-01,2.988800689012154
2019-01-01,3.3676779796344842
2019-02-01,3.980720921113583
2019-03-01,4.928492557856244
2019-04-01,4.331929527372198
2019-05-01,4.335054757211305
2019-06-01,4.746121964540338
2019-07-01,4.194574833806598
2019-08-01,4.182949698581642
2019-09-01,4.282761847455801
2019-10-01,4.411170240407102
2019-11-01,2.9893851200527886
2019-12-01,3.378410308620095
2020-01-01,3.8077020514931874
