month,Rape
2016-11-01,0.0733806164473505
2016-12-01,0.05130307569742064
2017-01-01,0.03722064559221486
2017-02-01,0.06217140564824142
2017-03-01,0.0985452030343755
2017-04-01,0.07933924199518005
2017-05-01,0.11913554537946269
2017-06-01,0.16203531728554094
2017-07-01,0.22776812640334843
2017-08-01,0.17327310692809814
2017-09-01,0.11809172538817495
2017-10-01,0.12074672455914062
2017-11-01,0.09303972939555771
2017-12-01,0.06190169109538443
2018-01-01,0.040457303848584064
2018-02-01,0.06087241470630961
2018-03-01,0.09281286681621065
2018-04-01,0.07048069925494549
2018-05-01,0.1068843184221197
2018-06-01,0.1467442752075327
2018-07-01,0.214615540515243
2018-08-01,0.15622048382453407
2018-09-01,0.1017045037493366
2018-10-01,0.10623279714324105
2018-11-01,0.0798189356586498
2018-12-01,0.04777314670308354
2019-01-01,0.02893107219465918
2019-02-01,0.04914296832987988
2019-03-01,0.07754697970590149
2019-04-01,0.05462685856943436
2019-05-01,0.08877513297203532
2019-06-01,0.12653172461349604
2019-07-01,0.1989098742206053
2019-08-01,0.13702839654768925
2019-09-01,0.08404354418656977
2019-10-01,0.091046460411831
